TransactionID,Date,BranchCode,CustomerID,TellerID,Amount,TransactionType,Currency
CA00015426,2025-02-14,BR034,C502668,TLR-8995,633.08,cash deposit,CAD
CA00010423,2025-02-08,BR008,C500755,TLR-3506,2490.08,cash withdrawal,CAD
CA00012999,2025-02-07,BR022,C500389,TLR-4263,1581.69,cash deposit,CAD
CA00009054,2025-02-03,BR002,C502055,TLR-9983,834.95,cash deposit,CAD
CA00012840,2025-02-11,BR021,C503699,TLR-1811,1108.14,cash deposit,CAD
CA00009260,2025-02-08,BR003,C500719,TLR-1359,562.76,cash withdrawal,CAD
CA00009882,2025-02-09,BR006,C500456,TLR-6233,366.86,cash deposit,CAD
CA00012917,2025-02-07,BR021,C503815,TLR-2320,757.66,cash withdrawal,CAD
CA00013729,2025-02-11,BR026,C502294,TLR-2480,616.69,cash deposit,CAD
CA00010614,2025-02-06,BR009,C503629,TLR-2865,1829.46,cash deposit,CAD
CA00011954,2025-02-16,BR017,C502070,TLR-4076,4039.31,cash deposit,CAD
CA00013797,2025-02-16,BR026,C502177,TLR-1053,430.58,cash deposit,CAD
CA00014072,2025-02-05,BR027,C501791,TLR-5177,3950.19,cash withdrawal,CAD
CA00011936,2025-02-03,BR016,C500446,TLR-7322,742.0,cash deposit,CAD
CA00009140,2025-02-20,BR002,C502451,TLR-3448,5368.01,cash deposit,CAD
CA00013291,2025-02-12,BR024,C500317,TLR-8644,545.58,cash deposit,CAD
CA00015136,2025-02-21,BR033,C501218,TLR-6058,550.08,cash deposit,CAD
CA00013492,2025-02-22,BR025,C501264,TLR-1130,-1265.72,cash withdrawal,CAD
CA00008828,2025-02-05,BR001,C501446,TLR-7335,2851.02,cash withdrawal,CAD
CA00013783,2025-02-09,BR026,C501753,TLR-9304,-239.81,cash withdrawal,CAD
CA00010535,2025-02-05,BR009,C502909,TLR-2845,1707.06,cash withdrawal,CAD
CA00014755,2025-02-12,BR031,C500524,TLR-9030,198.65,cash deposit,CAD
CA00010779,2025-02-03,BR010,C501490,TLR-2481,1487.67,cash deposit,CAD
CA00016875,2025-02-09,BR040,C500125,TLR-6292,3418.57,cash deposit,CAD
CA00014411,2025-02-17,BR030,C500387,TLR-4386,1521.52,cash deposit,CAD
CA00016210,2025-02-23,BR037,C501605,TLR-3234,1260.33,cash deposit,CAD
CA00014843,2025-02-02,BR031,C501376,TLR-4274,309.46,cash withdrawal,CAD
CA00015754,2025-02-01,BR036,C502283,TLR-3899,1233.72,cash deposit,CAD
CA00010160,2025-02-22,BR007,C501365,TLR-3622,9859.05,cash withdrawal,CAD
CA00014645,2025-02-19,BR030,C502538,TLR-7230,1554.69,cash deposit,CAD
CA00017684,2025-02-03,BR040,C503757,TLR-2694,1345.36,cash deposit,CAD
CA00013137,2025-02-24,BR023,C502208,TLR-5471,656.05,cash deposit,CAD
CA00014568,2025-02-22,BR030,C502665,TLR-4088,1954.22,cash deposit,CAD
CA00010547,2025-02-28,BR009,C502628,TLR-6488,1060.27,cash withdrawal,CAD
CA00011282,2025-02-27,BR014,C500370,TLR-9063,739.74,cash deposit,CAD
CA00012696,2025-02-10,BR020,C503542,TLR-1657,728.66,cash deposit,USD
CA00015541,2025-02-05,BR035,C500254,TLR-9658,469.84,cash deposit,CAD
CA00011376,2025-02-09,BR014,C500018,TLR-7862,2229.96,cash deposit,CAD
CA00016181,2025-02-02,BR037,C502071,TLR-9755,395.53,cash withdrawal,CAD
CA00015349,2025-02-18,BR034,C500942,TLR-2229,1563.55,cash withdrawal,CAD
CA00017287,2025-02-04,BR040,C501911,TLR-7609,878.16,cash withdrawal,CAD
CA00017531,2025-02-03,BR040,C502324,TLR-6362,533.77,cash withdrawal,CAD
CA00015347,2025-02-04,BR034,C503838,TLR-6582,524.67,cash withdrawal,CAD
CA00014444,2025-02-05,BR030,C503102,TLR-2794,715.37,cash deposit,CAD
CA00010173,2025-02-12,BR007,C501078,TLR-9016,1375.06,cash withdrawal,CAD
CA00015094,2025-02-16,BR032,C502791,TLR-1875,995.51,cash deposit,CAD
CA00012682,2025-02-04,BR020,C503573,TLR-8374,372.23,cash withdrawal,USD
CA00008897,2025-02-25,BR001,C503202,TLR-6529,1447.08,cash withdrawal,CAD
CA00013655,2025-02-22,BR025,C503920,TLR-7174,3910.39,cash deposit,CAD
CA00014346,2025-02-28,BR029,C503986,TLR-2062,263.09,cash deposit,CAD
CA00012791,2025-02-18,BR021,C503602,TLR-1056,1654.07,cash withdrawal,CAD
CA00010277,2025-02-11,BR007,C500780,TLR-8024,1070.27,cash deposit,CAD
CA00013979,2025-02-23,BR027,C503097,TLR-6539,643.79,cash withdrawal,CAD
CA00017438,2025-02-05,BR040,C500234,TLR-9256,303.93,cash deposit,CAD
CA00013360,2025-02-04,BR024,C502229,TLR-4792,691.05,cash withdrawal,CAD
CA00012080,2025-02-16,BR017,C501188,TLR-6758,767.58,cash withdrawal,CAD
CA00012554,2025-02-24,BR019,C500560,TLR-5626,985.25,cash withdrawal,CAD
CA00010753,2025-02-03,BR010,C503109,TLR-8812,671.52,cash deposit,CAD
CA00013465,2025-02-22,BR025,C502463,TLR-7796,998.82,cash deposit,CAD
CA00013057,2025-02-11,BR023,C502795,TLR-4362,2216.82,cash withdrawal,CAD
CA00012979,2025-02-18,BR022,C503850,TLR-8544,579.02,cash deposit,CAD
CA00013250,2025-02-05,BR024,C502423,TLR-6184,1531.61,cash deposit,CAD
CA00012695,2025-02-19,BR020,C501999,TLR-4580,480.64,cash deposit,USD
CA00016729,2025-02-04,BR040,C503952,TLR-7360,1595.78,cash withdrawal,CAD
CA00015669,2025-02-07,BR035,C500372,TLR-9222,624.87,cash deposit,CAD
CA00013254,2025-02-27,BR024,C501182,TLR-6698,716.61,cash withdrawal,CAD
CA00016703,2025-02-14,BR040,C503796,TLR-8960,785.53,cash deposit,CAD
CA00015042,2025-02-26,BR032,C500214,TLR-6862,2583.26,cash deposit,CAD
CA00012455,2025-02-07,BR019,C500005,TLR-9002,1195.99,cash deposit,CAD
CA00013475,2025-02-05,BR025,C501482,TLR-6772,359.56,cash deposit,CAD
CA00012462,2025-02-10,BR019,C502859,TLR-7019,1021.6,cash withdrawal,CAD
CA00014584,2025-02-07,BR030,C500223,TLR-5714,800.93,cash withdrawal,CAD
CA00016341,2025-02-10,BR038,C500409,TLR-1695,2831.97,cash withdrawal,CAD
CA00013386,2025-02-28,BR024,C501942,TLR-2828,444.67,cash deposit,CAD
CA00013265,2025-02-22,BR024,C501768,TLR-4638,2594.01,cash deposit,CAD
CA00009127,2025-02-06,BR002,C501456,TLR-9581,1113.61,cash deposit,CAD
CA00010092,2025-02-13,BR007,C502311,TLR-7904,1266.96,cash deposit,CAD
CA00016482,2025-02-10,BR039,C502042,TLR-3945,1362.67,cash withdrawal,CAD
CA00015115,2025-02-24,BR033,C503130,TLR-3257,792.73,cash withdrawal,CAD
CA00012689,2025-02-25,BR020,C500099,TLR-6533,966.92,cash withdrawal,USD
CA00017624,2025-02-10,BR040,C501379,TLR-1914,1628.94,cash deposit,CAD
CA00012915,2025-02-10,BR021,C500165,TLR-5643,556.86,cash withdrawal,CAD
CA00015239,2025-02-07,BR033,C502335,TLR-6609,161.19,cash deposit,CAD
CA00008700,2025-02-20,BR001,C503743,TLR-6232,320.16,cash withdrawal,CAD
CA00014100,2025-02-24,BR027,C500057,TLR-8633,9328.54,cash withdrawal,CAD
CA00010913,2025-02-24,BR012,C501323,TLR-3532,2979.2,cash withdrawal,CAD
CA00015953,2025-02-09,BR036,C503807,TLR-5672,2245.81,cash deposit,CAD
CA00009779,2025-02-09,BR006,C500429,TLR-3095,1912.9,cash withdrawal,CAD
CA00010490,2025-02-08,BR008,C501427,TLR-2564,1120.67,cash deposit,CAD
CA00011400,2025-02-10,BR014,C501115,TLR-3183,2203.71,cash withdrawal,CAD
CA00014661,2025-02-19,BR030,C502031,TLR-5266,335.16,cash deposit,CAD
CA00010826,2025-02-13,BR010,C501446,TLR-2567,1165.79,cash deposit,CAD
CA00012987,2025-02-25,BR022,C503342,TLR-8522,446.62,cash deposit,CAD
CA00013550,2025-02-26,BR025,C503408,TLR-5414,-1058.13,cash withdrawal,CAD
CA00009822,2025-02-11,BR006,C501163,TLR-4266,3615.15,cash deposit,CAD
CA00015830,2025-02-22,BR036,C503732,TLR-7806,1023.53,cash deposit,CAD
CA00016245,2025-02-13,BR037,C500901,TLR-5349,716.63,cash deposit,CAD
CA00016756,2025-02-16,BR040,C501847,TLR-8831,520.33,cash deposit,CAD
CA00010088,2025-02-09,BR007,C502734,TLR-1737,452.9,cash deposit,CAD
CA00008784,2025-02-26,BR001,C502651,TLR-6978,868.54,cash withdrawal,CAD
CA00010896,2025-02-07,BR011,C500453,TLR-2680,1812.32,cash withdrawal,CAD
CA00013102,2025-02-10,BR023,C502964,TLR-3472,2061.38,cash deposit,CAD
CA00016653,2025-02-14,BR039,C501960,TLR-5142,1862.97,cash withdrawal,CAD
CA00014955,2025-02-26,BR031,C500744,TLR-7464,1693.4,cash withdrawal,CAD
CA00015717,2025-02-26,BR036,C501034,TLR-5586,1162.87,cash withdrawal,CAD
CA00014889,2025-02-25,BR031,C501192,TLR-5601,240.57,cash deposit,CAD
CA00010616,2025-02-27,BR009,C500729,TLR-8903,1140.93,cash withdrawal,CAD
CA00017406,2025-02-04,BR040,C500414,TLR-5129,954.32,cash deposit,CAD
CA00010198,2025-02-24,BR007,C503112,TLR-9766,624.03,cash withdrawal,CAD
CA00014199,2025-02-14,BR028,C502198,TLR-9833,2713.36,cash withdrawal,CAD
CA00015003,2025-02-17,BR032,C503113,TLR-3720,1745.13,cash withdrawal,CAD
CA00017643,2025-02-13,BR040,C503940,TLR-4309,1279.55,cash deposit,CAD
CA00015894,2025-02-25,BR036,C500366,TLR-4648,1639.57,cash deposit,CAD
CA00008773,2025-02-26,BR001,C502199,TLR-1681,4661.4,cash withdrawal,CAD
CA00009032,2025-02-11,BR002,C503755,TLR-6418,-1583.2,cash withdrawal,CAD
CA00011621,2025-02-26,BR015,C501512,TLR-5471,1339.01,cash deposit,CAD
CA00015490,2025-02-15,BR035,C500965,TLR-9258,757.11,cash withdrawal,CAD
CA00016057,2025-02-26,BR037,C501965,TLR-3634,1621.61,cash withdrawal,CAD
CA00010457,2025-02-17,BR008,C500043,TLR-4024,676.31,cash withdrawal,CAD
CA00010708,2025-02-18,BR010,C503233,TLR-9240,1023.62,cash withdrawal,CAD
CA00016762,2025-02-19,BR040,C501486,TLR-4432,982.04,cash withdrawal,CAD
CA00009102,2025-02-14,BR002,C502054,TLR-9623,1569.32,cash deposit,CAD
CA00013878,2025-02-02,BR026,C503092,TLR-7975,1174.56,cash deposit,CAD
CA00017298,2025-02-05,BR040,C500290,TLR-5030,604.1,cash deposit,CAD
CA00013013,2025-02-21,BR022,C501111,TLR-5053,940.07,cash deposit,CAD
CA00009072,2025-02-24,BR002,C502756,TLR-5937,3148.61,cash deposit,CAD
CA00010710,2025-02-26,BR010,C502485,TLR-4029,357.9,cash deposit,CAD
CA00016794,2025-02-03,BR040,C502467,TLR-7676,796.81,cash deposit,CAD
CA00008829,2025-02-07,BR001,C501299,TLR-9160,2906.14,cash deposit,CAD
CA00015123,2025-02-18,BR033,C503997,TLR-2274,158.63,cash withdrawal,CAD
CA00014938,2025-02-13,BR031,C501234,TLR-4754,621.19,cash withdrawal,CAD
CA00011643,2025-02-27,BR015,C501902,TLR-2414,1835.23,cash deposit,CAD
CA00009396,2025-02-04,BR003,C503946,TLR-2473,345.69,cash withdrawal,CAD
CA00011959,2025-02-16,BR017,C503705,TLR-1872,1336.32,cash withdrawal,CAD
CA00015613,2025-02-28,BR035,C502698,TLR-5325,1857.27,cash withdrawal,CAD
CA00012319,2025-02-09,BR019,C503257,TLR-6296,340.64,cash deposit,CAD
CA00011506,2025-02-20,BR015,C503614,TLR-6100,684.08,cash deposit,CAD
CA00017210,2025-02-09,BR040,C501523,TLR-3797,863.33,cash deposit,CAD
CA00011340,2025-02-28,BR014,C500747,TLR-2991,1747.6,cash deposit,CAD
CA00017206,2025-02-15,BR040,C502820,TLR-8123,905.86,cash withdrawal,CAD
CA00011415,2025-02-01,BR014,C502132,TLR-5475,1691.5,cash deposit,CAD
CA00012163,2025-02-28,BR017,C502866,TLR-5129,561.3,cash withdrawal,CAD
CA00015808,2025-02-12,BR036,C502063,TLR-6500,3531.55,cash withdrawal,CAD
CA00012659,2025-02-07,BR020,C503549,TLR-3722,2587.32,cash withdrawal,USD
CA00015199,2025-02-24,BR033,C502673,TLR-7724,1557.72,cash withdrawal,CAD
CA00015826,2025-02-13,BR036,C500246,TLR-6379,1618.22,cash deposit,CAD
CA00012873,2025-02-01,BR021,C503165,TLR-1495,917.7,cash deposit,CAD
CA00010365,2025-02-24,BR008,C503854,TLR-2443,518.03,cash withdrawal,CAD
CA00009340,2025-02-03,BR003,C502725,TLR-5609,2569.24,cash withdrawal,CAD
CA00010763,2025-02-18,BR010,C502617,TLR-4596,920.14,cash withdrawal,CAD
CA00009511,2025-02-04,BR004,C500627,TLR-1622,3700.16,cash deposit,CAD
CA00011907,2025-02-01,BR016,C501483,TLR-9709,673.46,cash withdrawal,CAD
CA00014659,2025-02-27,BR030,C500754,TLR-7623,644.22,cash deposit,CAD
CA00014445,2025-02-13,BR030,C500070,TLR-3448,1527.53,cash deposit,CAD
CA00012723,2025-02-09,BR020,C501920,TLR-7226,571.91,cash deposit,USD
CA00015695,2025-02-18,BR036,C501685,TLR-6950,2333.54,cash deposit,CAD
CA00014714,2025-02-06,BR031,C501634,TLR-8765,1713.33,cash withdrawal,CAD
CA00013658,2025-02-17,BR025,C503493,TLR-4005,-507.67,cash withdrawal,CAD
CA00016843,2025-02-24,BR040,C502461,TLR-4566,490.54,cash withdrawal,CAD
CA00011111,2025-02-07,BR012,C501627,TLR-6166,540.53,cash withdrawal,CAD
CA00013177,2025-02-28,BR024,C502780,TLR-9860,2846.06,cash deposit,CAD
CA00014113,2025-02-14,BR028,C501609,TLR-3202,1177.29,cash withdrawal,CAD
CA00017054,2025-02-08,BR040,C502341,TLR-1473,745.02,cash withdrawal,CAD
CA00012774,2025-02-07,BR021,C501247,TLR-3260,380.18,cash deposit,CAD
CA00053287,2025-02-17,BR032,W926886,TLR-5395,234.58,cash withdrawal,CAD
CA00009992,2025-02-15,BR006,C501057,TLR-3573,1509.35,cash withdrawal,CAD
CA00009099,2025-02-26,BR002,C501426,TLR-4744,1380.6,cash deposit,CAD
CA00017014,2025-02-25,BR040,C502856,TLR-6996,607.63,cash deposit,CAD
CA00016659,2025-02-19,BR040,C501187,TLR-8165,1422.83,cash withdrawal,CAD
CA00009999,2025-02-05,BR006,C503392,TLR-4310,1667.65,cash deposit,CAD
CA00015069,2025-02-10,BR032,C500050,TLR-3348,934.74,cash withdrawal,CAD
CA00015919,2025-02-14,BR036,C501993,TLR-3585,2231.81,cash deposit,CAD
CA00011674,2025-02-02,BR015,C500260,TLR-9134,509.35,cash deposit,CAD
CA00010552,2025-02-23,BR009,C501263,TLR-1298,807.54,cash withdrawal,CAD
CA00015037,2025-02-08,BR032,C503205,TLR-3850,717.98,cash deposit,CAD
CA00016424,2025-02-13,BR038,C502599,TLR-8427,966.78,cash deposit,CAD
CA00010006,2025-02-21,BR006,C502014,TLR-2757,1378.72,cash withdrawal,CAD
CA00010460,2025-02-12,BR008,C503905,TLR-9306,2779.08,cash deposit,CAD
CA00014833,2025-02-26,BR031,C501552,TLR-1069,1152.1,cash withdrawal,CAD
CA00011471,2025-02-27,BR015,C501896,TLR-7544,1129.59,cash withdrawal,CAD
CA00011430,2025-02-16,BR015,C502706,TLR-7288,860.24,cash deposit,CAD
CA00012650,2025-02-07,BR020,C502832,TLR-8049,879.18,cash deposit,USD
CA00011098,2025-02-28,BR012,C501688,TLR-8394,503.37,cash withdrawal,CAD
CA00010534,2025-02-02,BR009,C502157,TLR-6415,975.87,cash withdrawal,CAD
CA00014653,2025-02-08,BR030,C501914,TLR-6485,1144.93,cash withdrawal,CAD
CA00009349,2025-02-01,BR003,C500356,TLR-5870,767.68,cash withdrawal,CAD
CA00011625,2025-02-10,BR015,C503549,TLR-5267,1471.79,cash deposit,CAD
CA00017524,2025-02-18,BR040,C500151,TLR-2221,616.59,cash deposit,CAD
CA00014921,2025-02-13,BR031,C503085,TLR-3040,1683.8,cash deposit,CAD
CA00008789,2025-02-09,BR001,C501336,TLR-8976,1321.33,cash deposit,CAD
CA00010857,2025-02-16,BR011,C502084,TLR-9214,404.71,cash withdrawal,CAD
CA00012977,2025-02-27,BR022,C502022,TLR-3421,866.3,cash deposit,CAD
CA00011778,2025-02-14,BR016,C503960,TLR-1027,903.6,cash deposit,CAD
CA00010585,2025-02-19,BR009,C503940,TLR-4766,4513.56,cash withdrawal,CAD
CA00009394,2025-02-06,BR003,C503190,TLR-1125,1313.52,cash deposit,CAD
CA00017043,2025-02-24,BR040,C502888,TLR-3708,505.48,cash deposit,CAD
CA00015278,2025-02-21,BR033,C501933,TLR-5957,736.41,cash withdrawal,CAD
CA00010838,2025-02-28,BR010,C500292,TLR-7119,2533.49,cash withdrawal,CAD
CA00016684,2025-02-18,BR040,C503847,TLR-3131,458.55,cash deposit,CAD
CA00015526,2025-02-02,BR035,C502349,TLR-6997,497.98,cash withdrawal,CAD
CA00016642,2025-02-09,BR039,C503783,TLR-8635,1219.29,cash withdrawal,CAD
CA00012869,2025-02-21,BR021,C500055,TLR-7293,419.35,cash withdrawal,CAD
CA00011261,2025-02-28,BR014,C500628,TLR-4786,3387.73,cash withdrawal,CAD
CA00014893,2025-02-04,BR031,C501029,TLR-8519,270.38,cash deposit,CAD
CA00012952,2025-02-23,BR021,C500161,TLR-5736,545.06,cash deposit,CAD
CA00010910,2025-02-24,BR012,C503310,TLR-1490,1340.21,cash withdrawal,CAD
CA00016979,2025-02-28,BR040,C502554,TLR-4421,1401.82,cash deposit,CAD
CA00016634,2025-02-06,BR039,C500903,TLR-4567,1719.64,cash withdrawal,CAD
CA00009129,2025-02-21,BR002,C500388,TLR-6431,1518.02,cash deposit,CAD
CA00009991,2025-02-05,BR006,C502332,TLR-9804,445.31,cash deposit,CAD
CA00014776,2025-02-04,BR031,C502398,TLR-9505,337.29,cash withdrawal,CAD
CA00013460,2025-02-14,BR025,C500622,TLR-1009,-1202.85,cash withdrawal,CAD
CA00015494,2025-02-08,BR035,C500552,TLR-9785,1276.86,cash deposit,CAD
CA00017492,2025-02-17,BR040,C503253,TLR-1470,238.13,cash deposit,CAD
CA00010804,2025-02-19,BR010,C503308,TLR-4862,449.51,cash deposit,CAD
CA00013536,2025-02-22,BR025,C502004,TLR-5424,-885.83,cash withdrawal,CAD
CA00008840,2025-02-11,BR001,C500964,TLR-5468,934.38,cash deposit,CAD
CA00008747,2025-02-17,BR001,C502977,TLR-2601,1223.13,cash deposit,CAD
CA00015725,2025-02-07,BR036,C502157,TLR-2507,1668.68,cash withdrawal,CAD
CA00010975,2025-02-11,BR012,C501764,TLR-9561,1664.21,cash withdrawal,CAD
CA00016571,2025-02-09,BR039,C501583,TLR-2264,886.63,cash withdrawal,CAD
CA00015737,2025-02-14,BR036,C500511,TLR-7609,357.11,cash withdrawal,CAD
CA00016246,2025-02-27,BR037,C501661,TLR-4807,789.93,cash deposit,CAD
CA00013885,2025-02-13,BR026,C503426,TLR-1668,600.99,cash deposit,CAD
CA00012204,2025-02-07,BR018,C502213,TLR-3211,406.69,cash deposit,CAD
CA00010402,2025-02-02,BR008,C500194,TLR-1417,723.28,cash deposit,CAD
CA00013883,2025-02-06,BR026,C501841,TLR-6307,-812.17,cash withdrawal,CAD
CA00015862,2025-02-12,BR036,C501034,TLR-1069,3160.58,cash withdrawal,CAD
CA00015851,2025-02-13,BR036,C503763,TLR-9982,1773.86,cash deposit,CAD
CA00014269,2025-02-23,BR029,C500942,TLR-5625,712.15,cash deposit,CAD
CA00010610,2025-02-03,BR009,C502637,TLR-4917,948.26,cash withdrawal,CAD
CA00017331,2025-02-27,BR040,C503765,TLR-6175,200.24,cash withdrawal,CAD
CA00015015,2025-02-02,BR032,C500760,TLR-8514,1396.85,cash withdrawal,CAD
CA00011198,2025-02-03,BR013,C501418,TLR-6825,1506.5,cash withdrawal,CAD
CA00008991,2025-02-13,BR001,C500318,TLR-4343,931.34,cash withdrawal,CAD
CA00011826,2025-02-25,BR016,C501600,TLR-8668,970.85,cash deposit,CAD
CA00014416,2025-02-22,BR030,C503172,TLR-4059,821.26,cash deposit,CAD
CA00015179,2025-02-27,BR033,C502801,TLR-4260,2100.27,cash deposit,CAD
CA00014816,2025-02-11,BR031,C503471,TLR-5223,400.99,cash deposit,CAD
CA00009820,2025-02-18,BR006,C503647,TLR-6164,6183.79,cash deposit,CAD
CA00017430,2025-02-24,BR040,C502109,TLR-3073,1074.22,cash deposit,CAD
CA00017329,2025-02-09,BR040,C503308,TLR-6043,865.82,cash withdrawal,CAD
CA00017327,2025-02-10,BR040,C502286,TLR-5429,916.66,cash withdrawal,CAD
CA00016801,2025-02-21,BR040,C503670,TLR-7321,626.68,cash deposit,CAD
CA00009481,2025-02-01,BR004,C500760,TLR-1627,1278.94,cash withdrawal,CAD
CA00011986,2025-02-03,BR017,C503439,TLR-8882,1458.8,cash withdrawal,CAD
CA00017100,2025-02-15,BR040,C503576,TLR-2876,1715.16,cash withdrawal,CAD
CA00012993,2025-02-21,BR022,C500968,TLR-2902,2265.48,cash deposit,CAD
CA00012141,2025-02-24,BR017,C503506,TLR-4572,856.19,cash deposit,CAD
CA00014914,2025-02-19,BR031,C503579,TLR-2024,637.23,cash withdrawal,CAD
CA00014016,2025-02-27,BR027,C502544,TLR-3599,709.01,cash deposit,CAD
CA00011208,2025-02-12,BR013,C502325,TLR-4477,438.63,cash deposit,CAD
CA00009693,2025-02-13,BR005,C501585,TLR-6750,1291.98,cash deposit,CAD
CA00012776,2025-02-24,BR021,C503060,TLR-6970,930.78,cash deposit,CAD
CA00011513,2025-02-03,BR015,C503955,TLR-5026,3219.9,cash deposit,CAD
CA00010953,2025-02-09,BR012,C502596,TLR-1913,785.77,cash deposit,CAD
CA00009200,2025-02-25,BR003,C503709,TLR-5158,1381.33,cash deposit,CAD
CA00015616,2025-02-12,BR035,C502226,TLR-5601,1645.53,cash deposit,CAD
CA00015859,2025-02-22,BR036,C500331,TLR-8650,1100.44,cash withdrawal,CAD
CA00009000,2025-02-25,BR001,C500602,TLR-1341,661.93,cash deposit,CAD
CA00015222,2025-02-05,BR033,C500414,TLR-2145,557.01,cash deposit,CAD
CA00014826,2025-02-20,BR031,C502399,TLR-3054,1574.89,cash withdrawal,CAD
CA00013892,2025-02-02,BR026,C501806,TLR-9429,-863.47,cash withdrawal,CAD
CA00012281,2025-02-12,BR018,C501958,TLR-1876,1609.44,cash deposit,CAD
CA00015670,2025-02-18,BR035,C500507,TLR-2604,736.51,cash withdrawal,CAD
CA00009351,2025-02-06,BR003,C502887,TLR-6291,241.98,cash deposit,CAD
CA00015817,2025-02-07,BR036,C502505,TLR-2065,3016.79,cash withdrawal,CAD
CA00012738,2025-02-24,BR020,C503538,TLR-6422,665.48,cash withdrawal,USD
CA00011314,2025-02-02,BR014,C501834,TLR-8358,2054.75,cash withdrawal,CAD
CA00015790,2025-02-21,BR036,C502137,TLR-3904,2186.6,cash deposit,CAD
CA00012601,2025-02-17,BR020,C501867,TLR-5641,334.51,cash deposit,USD
CA00009031,2025-02-03,BR002,C501703,TLR-8251,681.99,cash deposit,CAD
CA00012418,2025-02-04,BR019,C503097,TLR-9508,737.02,cash withdrawal,CAD
CA00016906,2025-02-04,BR040,C500017,TLR-8969,2181.83,cash deposit,CAD
CA00013683,2025-02-21,BR026,C503274,TLR-9180,-1272.38,cash withdrawal,CAD
CA00010729,2025-02-23,BR010,C500326,TLR-3630,537.44,cash deposit,CAD
CA00011245,2025-02-03,BR014,C502762,TLR-9466,441.75,cash deposit,CAD
CA00015774,2025-02-08,BR036,C502407,TLR-6822,990.64,cash deposit,CAD
CA00012761,2025-02-04,BR020,C500856,TLR-8702,866.82,cash withdrawal,USD
CA00016178,2025-02-17,BR037,C502503,TLR-5719,895.49,cash deposit,CAD
CA00010199,2025-02-21,BR007,C503186,TLR-8220,1312.79,cash deposit,CAD
CA00017365,2025-02-27,BR040,C503783,TLR-7706,428.49,cash withdrawal,CAD
CA00014515,2025-02-12,BR030,C501794,TLR-5949,712.82,cash withdrawal,CAD
CA00011120,2025-02-23,BR012,C502786,TLR-7958,447.8,cash withdrawal,CAD
CA00014672,2025-02-23,BR030,C501128,TLR-8071,409.91,cash withdrawal,CAD
CA00015748,2025-02-15,BR036,C500313,TLR-3872,692.13,cash deposit,CAD
CA00011121,2025-02-19,BR012,C502073,TLR-5284,259.26,cash deposit,CAD
CA00015158,2025-02-25,BR033,C500223,TLR-4114,1327.73,cash deposit,CAD
CA00015764,2025-02-07,BR036,C500121,TLR-5500,405.07,cash deposit,CAD
